ID,Название,Status,Вердикт,Энтропия_Шеннона,Энтропия_Перестановок,Фрактал_Размерность_GP,Асимметрия_Сдвига,Эксцесс_Хвостов,Автокорреляция_Лаг1,Херст_Хаотичность,Радиус_Облака,Коэф_Сдвига_Аномалий,Доля_Оси_X,Доля_Оси_Y,Доля_Оси_Z,Сила_Закрутки_Ротора,Индекс_Сквозных_Дыр,Коэф_Ветвления,Частота_Фурье
A000295,"Eulerian numbers (Euler's triangle: column k=2 of A008292, column k=1 of A173018).",Успешно,Строгий кристаллический тренд,5.0286,-0.0,0.0,4.0083,15.9618,1.0,0.6132,999477204.28,16.5,1.0,0.0,0.0,7387640810.77,0.0,1.0,1.0
A000296,Set partitions without singletons: number of partitions of an n-set into blocks of size > 1. Also number of cyclically spaced (or feasible) partitions.,Успешно,Строгий кристаллический тренд,4.5788,0.2423,0.0,4.8344,21.5817,1.0,0.5098,3.427027782866525e+17,23.51,0.9997,0.0003,0.0,2.0955841465538382e+32,0.0,1.0,1.0
A000297,a(n) = (n+1)*(n+3)*(n+8)/6.,Успешно,Строгий кристаллический тренд,5.4919,-0.0,0.0,0.9943,-0.2308,0.9999,0.7715,6929.2,2.76,0.9913,0.0086,0.0,199875.12,0.0,1.0,1.0
A000298,Number of partitions into non-integral powers.,Успешно,Строгий кристаллический тренд,5.2095,-0.0,0.0,3.4183,11.501,1.0,0.6533,762836015.97,13.11,0.997,0.003,0.0,3593322402654001.5,0.0,1.0,1.0
A000299,Number of n-node rooted trees of height 4.,Успешно,Строгий кристаллический тренд,4.8522,-0.0,0.0,3.9552,15.5336,1.0,0.6161,921949337.91,16.15,0.9992,0.0008,0.0,2036498353944823.2,0.0,1.0,1.0
A000300,4th power of rooted tree enumerator: linear forests of 4 rooted trees.,Успешно,Строгий кристаллический тренд,4.8074,-0.0,0.0,4.2209,17.195,1.0,0.573,329666164648.44,17.49,0.9998,0.0002,0.0,6.634835074122821e+19,0.0,1.0,1.0
A000301,"a(n) = a(n-1)*a(n-2) with a(0) = 1, a(1) = 2; also a(n) = 2^Fibonacci(n).",Успешно,Строгий кристаллический тренд,3.6645,-0.0,0.0,3.3282,9.0769,1.0,0.486,2.108866939297117e+69,13.0,1.0,0.0,0.0,7.767225584714833e+95,0.0,1.0,2.0
A000302,Powers of 4: a(n) = 4^n.,Успешно,Строгий кристаллический тренд,4.6439,-0.0,0.0,4.2925,17.3,1.0,0.5448,28778588986483.55,18.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
A000303,Number of permutations of [n] in which the longest increasing run has length 2.,Успешно,Строгий кристаллический тренд,4.4594,-0.0,0.0,4.3434,16.9274,1.0,0.4943,2.4767065649051965e+18,19.85,0.9999,0.0001,0.0,5.195469294362338e+33,0.0,1.0,1.0
A000304,a(n) = a(n-1)*a(n-2).,Skip,Слишком короткий ряд,,,,,,,,,,,,,,,,
A000305,Number of certain rooted planar maps.,Успешно,Строгий кристаллический тренд,4.3923,-0.0,0.0,4.0897,15.1135,1.0,0.5215,151791977501767.38,16.83,0.9999,0.0001,0.0,9.125086310717203e+24,0.0,1.0,1.0
A000306,Number of trees of diameter 8.,Успешно,Строгий кристаллический тренд,5.0,-0.0,0.0,3.8289,14.4523,1.0,0.6151,47300560986.35,15.24,0.9987,0.0013,0.0,8.302205398116654e+18,0.0,1.0,1.0
A000307,Number of 4-level labeled rooted trees with n leaves.,Успешно,Строгий кристаллический тренд,4.2971,-0.0,0.0,4.2399,16.0026,1.0,0.4918,1.1868242795703191e+21,19.29,0.9999,0.0001,0.0,4.584672786137438e+38,0.0,1.0,1.0
A000308,"a(n) = a(n-1)*a(n-2)*a(n-3) with a(1)=1, a(2)=2 and a(3)=3.",Skip,Слишком короткий ряд,,,,,,,,,,,,,,,,
A000309,Number of rooted planar bridgeless cubic maps with 2n nodes.,Успешно,Строгий кристаллический тренд,4.3685,-0.0,0.0,4.317,16.7713,1.0,0.5027,5.986207312234581e+18,19.25,1.0,0.0,0.0,8.27929316927357e+33,0.0,1.0,1.0
A000310,Coefficients of iterated exponentials.,Успешно,Строгий кристаллический тренд,4.3219,-0.0,0.0,4.1269,15.0388,1.0,0.4914,4.4103908569340076e+24,18.63,1.0,0.0,0.0,2.2273412184236143e+45,0.0,1.0,1.0
A000311,Schroeder's fourth problem; also series-reduced rooted trees with n labeled leaves; also number of total partitions of n.,Успешно,Строгий кристаллический тренд,4.2219,-0.0,0.0,4.1262,15.0352,1.0,0.4914,1.9415874278541283e+21,18.58,1.0,0.0,0.0,5.969076016172981e+38,0.0,1.0,1.0
A000312,a(n) = n^n; number of labeled mappings from n points to themselves (endofunctions).,Успешно,Строгий кристаллический тренд,4.2219,-0.0,0.0,4.1268,15.0385,1.0,0.4914,2.074048548069786e+23,18.62,1.0,0.0,0.0,5.212828857039359e+42,0.0,1.0,1.0
A000313,Number of permutations of length n with 3 consecutive ascending pairs.,Успешно,Строгий кристаллический тренд,4.3168,-0.0,0.0,4.4638,17.9671,1.0,0.4926,1.3109410975939912e+20,21.05,0.9999,0.0001,0.0,8.890181669977819e+36,0.0,1.0,1.0
